"method","dataset","session","condition","alpha1_strength","events","K","M","T","empirical_nu_base","mean_events_per_actor_mark_per_sec","ring_size","hub_actor","true_ring","n_injected_events","hawkes_sampler_used","seed","heldout_frac","heldout_split_t","train_events","test_events","heldout_loglik","heldout_nll_per_event","heldout_metric_type","field_auc","precision","recall","f1","hub_correct","loglik_final","active_mean","b2_lambda0","b2_lambda1","b2_p00","b2_p11"
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.98622666666654","5581","1472","-357.8069613755928","0.24307538136928858","latent_ctmc_marginal_interval_loglik","","","","","","-1588.5683747092055","0.5629399250899757",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.98622666666654","5581","1472","-364.84567207154566","0.24785711417903916","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1631.6407886699567","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.98622666666654","5581","1472","-358.398382826276","0.24347716224611143","latent_ctmc_marginal_interval_loglik","","","","","","-1588.329614057038","0.5623555629935847",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.98622666666654","5581","1472","-367.01597479847953","0.2493315046185323","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1637.4538323046272","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.98622666666654","5581","1472","-108.8935124971841","0.07397657098993485","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6572032618544247","94.58333333333333","181.33333333333334","0.8108108108108109","0.42857142857142855"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.98622666666654","5581","1472","-915.8204864304955","0.6221606565424562","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_0000_early","real_crypto_window_sweep","","7053","20","2","119.98278333333316","1.4695858447468944","1.4695858447468944","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.98622666666654","5581","1472","-357.8633887553676","0.2431137151870704","latent_ctmc_marginal_interval_loglik","","","","","","-1589.7109633609368","0.5588510127222577",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.9706666666665","5388","870","-924.6966498327062","1.0628697124513864","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1534.60554092731","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.9706666666665","5388","870","-108.23790734394305","0.12441138775165868","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.7255653507090839","79.55555555555556","210.33333333333334","0.8108108108108109","0.5"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.9706666666665","5388","870","-1133.0046705681214","1.3023042190438177","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.9706666666665","5388","870","-913.8506356822601","1.0504030295198392","latent_ctmc_marginal_interval_loglik","","","","","","-1367.2906713241719","0.35346097307997976",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.9706666666665","5388","870","-916.8860734682141","1.0538920384692116","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-1539.4919507832371","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov07_1200_pre_collapse","real_crypto_window_sweep","","6258","20","2","119.96333333333313","1.3041484898163351","1.3041484898163351","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.9706666666665","5388","870","-108.23790734394305","0.12441138775165868","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.7255653507090839","79.55555555555556","210.33333333333334","0.8108108108108109","0.5"
